ts_code,name,management,fund_type,found_date,m_fee,c_fee,benchmark,invest_type,market,manager,net_asset,ann_date,last 5 year,last 4 year,last 3 year,last 2 year,last 1 year
512150.SH,A50ETF,汇安基金,股票型,20181221,0.5,0.1,富时中国A50指数收益率,被动指数型,E,朱晨歌,0.66,20221231,0.6189,0.628999798752264,0.21256834694030413,-0.11939730200174066,-0.08282816837572936
512890.SH,红利低波ETF,华泰柏瑞基金,股票型,20181219,0.5,0.1,中证红利低波动指数收益率,被动指数型,E,柳军,2.58,20221231,0.6878,0.6888132879727837,0.3885643767996709,0.2685456595264938,0.060975609756097546
512870.SH,杭州湾区ETF,南华基金,股票型,20181214,0.5,0.1,中证杭州湾区指数收益率,被动指数型,E,孔庆卿 黄志钢,0.45,20221231,0.5344,0.5779514603044014,0.18844396251258624,-0.14840714840714844,-0.21502020770450714
513680.SH,恒生国企ETF,建信基金,股票型,20181213,0.5,0.1,恒生中国企业指数收益率(经汇率调整),被动指数型,E,吕鑫 龚佳佳,0.3,20221231,-0.22960000000000003,-0.2306002197143714,-0.2449279623640106,-0.1945635128071093,-0.023945267958951005
510850.SH,工银上证50ETF,工银瑞信基金,股票型,20181207,0.5,0.1,上证50指数收益率,被动指数型,E,赵栩,2.31,20221231,0.27056612999999996,0.27132892735641384,-0.01640190830548267,-0.179420875667033,-0.10848380473385964
501065.SH,经典成长,汇添富基金,混合型,20181205,1.5,0.25,沪深300指数收益率*60%+恒生指数收益率(使用估值汇率折算)*20%+中债综合财富指数收益率*20%,混合型,E,李云鑫,5.18,20221231,0.9113053900000001,0.9137933213177131,0.3480329304762423,-0.26149257451289204,-0.163152674546308
501067.SH,富时AH50LOF,招商基金,股票型,20181203,0.8,0.15,富时中国A-H50指数收益率*95%+同期银行活期存款利率(税后)*5%,被动指数型,E,许荣漫,0.16,20221231,0.256,0.2548706164451994,-0.029366306027820737,-0.17455310199789698,-0.09196067090803932
501068.SH,AH50LOF,招商基金,股票型,20181203,0.8,0.15,富时中国A-H50指数收益率*95%+同期银行活期存款利率(税后)*5%,被动指数型,E,许荣漫,0.28,20221231,0.23520000000000008,0.23445932440535694,-0.04129152437131319,-0.1814446653412855,-0.09588640023422632
512260.SH,中证500低波ETF,华安基金,股票型,20181130,0.5,0.1,中证500行业中性低波动指数收益率,被动指数型,E,苏卿云,0.94,20221231,0.49839999999999995,0.5094187569255565,0.2566252935256626,0.10257542310522441,-0.08834266244828426
510550.SH,方正中证500ETF,方正富邦基金,股票型,20181130,0.5,0.1,中证500指数收益率,被动指数型,E,于润泽,0.23,20221231,0.5377000000000001,0.5384692346173087,0.22966813274690134,-0.009533011272141657,-0.14037343470483
512040.SH,价值100ETF,富国基金,股票型,20181107,0.6,0.1,中证国信价值指数收益率,被动指数型,E,曹璐迪,3.39,20221231,0.7647999999999999,0.8565116768356826,0.5022131426625808,0.1841116478797638,-0.06525423728813558
512920.SH,MSCIETF新华,新华基金,股票型,20181107,0.5,0.1,MSCI中国A股国际指数收益率,被动指数型,E,武磊 邓岳,0.11,20221206,0.5448,0.6506036969761727,0.18922247882986915,-0.15111550719859332,-0.1673134971970677
501309.SH,港股通LOF,国泰基金,股票型,20181106,0.75,0.2,经人民币汇率调整的恒生港股通指数收益率*95%+银行活期存款利率(税后)*5%,被动指数型,E,朱丹,0.36,20221231,0.0046999999999999265,-0.012482799292313893,-0.05475585661868476,-0.1630289903365545,-0.031334361743154626
501066.SH,东方红恒元,东证资管,混合型,20181102,1.5,0.25,沪深300指数收益率*60%+恒生指数收益率*20%+中国债券总指数收益率*20%,灵活配置型,E,王延飞,21.19,20221231,0.7224999999999999,0.7590890522875817,0.17105173703174914,-0.21311100959342172,-0.10146061554512265
159961.SZ,深100ETF方正富邦,方正富邦基金,股票型,20181102,0.5,0.1,深证100价格指数收益率,被动指数型,E,吴昊,5.53,20221231,0.8936999999999999,0.9734264276781992,0.26238250783281114,-0.16877359318760426,-0.17636569241475294
161132.SZ,易方达科顺定开,易方达基金,混合型,20181026,1.5,0.25,中证800指数收益率*40%+中债总指数收益率*40%+中证港股通综合指数收益率*20%,灵活配置型,E,萧楠,1.08,20221231,0.81,0.8203761440209194,0.38591117917304746,-0.20655795195511137,-0.09031512288284664
501310.SH,价值基金LOF,华宝基金,股票型,20181025,0.75,0.15,标普沪港深中国增强价值指数收益率*95%+人民币银行活期存款利率(税后)*5%,被动指数型,E,周晶 杨洋,0.96,20221231,-0.08560000000000001,-0.0321761219305673,-0.09411531602932442,0.062267657992565034,0.02304766166927719
512820.SH,银行业ETF,汇添富基金,股票型,20181023,0.5,0.1,中证银行指数收益率,被动指数型,E,过蓓蓓,5.15,20221231,0.13179999999999992,0.2135963971692043,-0.032732245107255795,-0.0242262263988275,-0.013423988842398954
159959.SZ,央企ETF,银华基金,股票型,20181022,0.15,0.05,中证央企结构调整指数收益率,被动指数型,E,周大鹏,23.33,20221231,0.3199000000000001,0.36819736705711625,0.2550156888846629,0.08366174055829237,-0.0917910961260579
512960.SH,央企结构调整ETF,博时基金,股票型,20181019,0.15,0.05,中证央企结构调整指数收益率,被动指数型,E,赵云阳,51.64,20221231,0.23310000000000008,0.34779757350530116,0.23149905123339656,0.06420989039440754,-0.09464023494860499
512950.SH,央企改革ETF,华夏基金,股票型,20181019,0.15,0.05,中证央企结构调整指数收益率,被动指数型,E,荣膺,50.56,20221231,0.2350000000000001,0.33904369511005106,0.22897800776196658,0.06328024106758512,-0.09457478005865103
159960.SZ,H股ETF港股通,平安基金,股票型,20180921,0.5,0.1,恒生中国企业指数收益率(经汇率调整),被动指数型,E,钱晶,4.0,20221231,-0.17513272999999996,-0.10641613043007257,-0.23125137931034476,-0.18836242251303742,-0.012102671576064797
